id;distance;time_start;time_stop
1;317;2022-04-17T04:10:00;2022-04-16T17:47:27
2;90743;2022-04-16T19:33:19;2022-04-17T14:22:35
3;60161;2022-04-17T09:24:39;2022-04-17T13:39:09
4;62899;2022-04-17T03:34:49;2022-04-17T12:27:24
5;83770;2022-04-16T21:37:28;2022-04-17T13:59:09
6;70550;2022-04-17T03:48:46;2022-04-16T18:40:30
7;69437;2022-04-17T02:41:17;2022-04-16T18:10:36
8;96960;2022-04-16T20:51:37;2022-04-17T12:36:07
9;46080;2022-04-17T14:59:04;2022-04-16T20:51:03
10;24720;2022-04-16T18:10:36;2022-04-17T09:18:03
